ANO;LOCALIDAD_RESIDENCIA;GRUPOS_EDAD_QUINQUENIOS;SEXO;CASOS;MUERTES
2020;16 - Puente Aranda;04. 10 a 14 años;M;256;
2020;16 - Puente Aranda;11. 45 A 49 años;F;780;2
2020;04 - San Cristóbal;08. 30 a 34 años;F;1530;3
2020;12 - Barrios Unidos;19. 85 a 89 años;F;57;13
2020;12 - Barrios Unidos;13. 55 a 59 años;F;424;7
2020;12 - Barrios Unidos;07. 25 a 29 años;M;559;
2020;15 - Antonio Nariño;07. 25 a 29 años;F;425;1
2020;19 - Ciudad Bolívar;07. 25 a 29 años;M;1878;4
2020;19 - Ciudad Bolívar;10. 40 a 44 años;M;1256;11
2020;19 - Ciudad Bolívar;13. 55 a 59 años;M;857;42
2020;19 - Ciudad Bolívar;04. 10 a 14 años;F;550;
2020;99 - Localidad Desconocida;09. 35 a 39 años;F;263;1
2021;07 - Bosa;06. 20 a 24 años;M;3184;4
2021;07 - Bosa;10. 40 a 44 años;F;3700;18
2021;07 - Bosa;05. 15 a 19 años;F;2011;2
2021;11 - Suba;17. 75 a 79 años;M;798;166
2021;11 - Suba;13. 55 a 59 años;F;5633;77
2021;11 - Suba;10. 40 a 44 años;F;8007;28
2021;11 - Suba;11. 45 A 49 años;F;6783;34
2021;11 - Suba;17. 75 a 79 años;F;1090;100
2021;11 - Suba;10. 40 a 44 años;M;6359;49
2021;08 - Kennedy;06. 20 a 24 años;F;6903;5
2021;08 - Kennedy;17. 75 a 79 años;F;783;91
2021;08 - Kennedy;03. 5 a 9 años;F;1422;1
2021;08 - Kennedy;05. 15 a 19 años;F;3673;
2021;08 - Kennedy;08. 30 a 34 años;M;6566;29
2021;01 - Usaquén;14. 60 a 64 años;F;2181;50
2021;01 - Usaquén;09. 35 a 39 años;F;4321;6
2021;01 - Usaquén;08. 30 a 34 años;M;4197;3
2021;09 - Fontibón;12. 50 a 54 años;F;2338;21
2021;13 - Teusaquillo;07. 25 a 29 años;F;1887;
2021;13 - Teusaquillo;17. 75 a 79 años;F;232;32
2021;16 - Puente Aranda;13. 55 a 59 años;F;1444;26
2021;04 - San Cristóbal;03. 5 a 9 años;M;349;
2021;12 - Barrios Unidos;12. 50 a 54 años;M;707;13
2021;15 - Antonio Nariño;05. 15 a 19 años;M;363;1
2021;19 - Ciudad Bolívar;05. 15 a 19 años;F;1669;1
2021;19 - Ciudad Bolívar;10. 40 a 44 años;F;2875;17
2021;99 - Localidad Desconocida;07. 25 a 29 años;M;1328;1
2021;18 - Rafael Uribe Uribe;18. 80 a 84 años;F;233;31
